Employee_ID,Full_Name,Gender,Age,Marital_Status,Number_of_Dependents,State_of_Origin,Education_Level,Department,Job_Title,Job_Level,Employment_Type,Work_Location,Hire_Date,Years_of_Service,Monthly_Salary_NGN,Performance_Rating,Job_Satisfaction_Score,Employee_Engagement_Score,Training_Hours_Per_Year,Overtime_Flag,Absences_Per_Year,Years_Since_Last_Promotion,Attrition
EMP32432,Femi Oduya,Male,29,Widowed,2,Rivers,M.Sc/MBA,Customer Service,Client Relations Officer,Mid,Full-Time,Remote,2013-08-12,11.4," 523,911 ",Meets Expectations,2,3,23,No,0,2,No
EMP80011,Nnamdi Oduya,Male,37,Married,3,Lagos,M.Sc/MBA,Finance,Treasury Officer,Mid,Full-Time,On-site,2023-08-12,1.4," 487,002 ",Below Expectations,4,5,42,No,1,0,Yes
EMP42088,Biodun Adeleke,Male,31,Single,2,Abuja,HND,Engineering,Mechanical Engineer,Mid,Full-Time,On-site,2011-07-13,13.5," 616,707 ",Below Expectations,3,5,29,No,0,8,Yes
EMP31418,Aisha Adeyemi,Male,35,Married,2,Ogun,B.Sc/B.A,Sales,Account Manager,Manager,Full-Time,Hybrid,2018-12-29,6," 629,222 ",Meets Expectations,2,3,24,Yes,3,8,No
EMP70590,Chioma Garba,Female,49,Single,2,Ogun,M.Sc/MBA,Engineering,Electrical Engineer,Mid,Full-Time,On-site,2015-06-29,9.5," 353,511 ",Meets Expectations,3,5,28,No,2,2,No
EMP59736,Fatima Babatunde,Male,40,Single,0,Lagos,B.Sc/B.A,Technology,Software Engineer,Mid,Full-Time,On-site,2018-11-26,6.1," 565,391 ",Unsatisfactory,3,3,26,No,1,7,No
EMP45383,Yemi Nwachukwu,Male,33,Married,1,Enugu,HND,Operations,Operations Manager,Manager,Intern,On-site,2018-07-13,6.5," 389,886 ",Exceeds Expectations,4,3,35,Yes,1,0,No
EMP93887,Tope Obi,Male,22,Single,1,Kano,PGD,Technology,Systems Administrator,Mid,Contract,On-site,2019-06-01,5.6," 608,462 ",Exceeds Expectations,4,2,17,Yes,0,9,No
EMP83001,Bola Bello,Male,22,Married,2,Ogun,M.Sc/MBA,Sales,Regional Sales Manager,Manager,Full-Time,Hybrid,2018-09-23,6.3," 655,471 ",Meets Expectations,4,5,28,Yes,4,0,No
EMP38786,Adaeze Okonkwo,Female,24,Divorced,2,Lagos,B.Sc/B.A,Customer Service,Client Relations Officer,Mid,Full-Time,Remote,2021-03-15,3.8," 1,825,979 ",Meets Expectations,5,2,45,No,8,0,Yes
EMP99734,Yemi Eze,Male,33,Single,1,Lagos,B.Sc/B.A,Sales,Regional Sales Manager,Manager,Full-Time,Hybrid,2013-09-22,11.3," 697,906 ",Meets Expectations,3,3,20,No,17,0,No
EMP52505,Aisha Usman,Male,22,Married,0,Enugu,B.Sc/B.A,Executive,Chief Technology Officer,Mid,Intern,On-site,2019-03-16,5.8," 353,243 ",Meets Expectations,3,4,40,No,7,4,No
EMP17332,Hauwa Usman,Male,22,Single,0,Enugu,B.Sc/B.A,Finance,Treasury Officer,Mid,Full-Time,On-site,2012-03-23,12.8," 471,669 ",Meets Expectations,4,5,13,No,0,5,No
EMP40022,Chioma Hassan,Female,34,,3,Abuja,HND,Finance,Auditor,Mid,Full-Time,Hybrid,2014-10-02,10.2," 681,434 ",Meets Expectations,,3,,No,11,4,No
EMP14208,Adaeze Abiodun,Female,31,Married,0,Lagos,PGD,Legal & Compliance,Company Secretary,Mid,Part-Time,On-site,2016-01-02,9," 637,565 ",Meets Expectations,3,1,4,No,12,2,No
EMP51348,Biodun Nwachukwu,Female,38,Single,4,Anambra,B.Sc/B.A,Technology,DevOps Engineer,Mid,Full-Time,On-site,2019-08-24,5.4," 2,096,767 ",Below Expectations,2,4,10,No,1,0,No
EMP62582,Bola Bello,Female,35,Married,0,Ogun,B.Sc/B.A,Finance,Financial Analyst,Mid,Part-Time,On-site,2021-04-23,3.7," 655,361 ",Below Expectations,3,2,48,Yes,2,4,No
EMP45094,Uche Okafor,Female,48,Married,0,Lagos,B.Sc/B.A,Operations,Operations Manager,Manager,Intern,Hybrid,2011-10-08,13.2," 627,641 ",Meets Expectations,4,3,45,Yes,2,0,No
EMP18676,Nnamdi Chukwuemeka,Female,44,Married,3,Ogun,B.Sc/B.A,Operations,Procurement Officer,Mid,Full-Time,On-site,2011-11-11,13.1," 460,774 ",Exceeds Expectations,2,3,34,No,0,0,No
EMP37654,Funmi Eze,Male,41,Married,1,Rivers,B.Sc/B.A,Sales,Sales Coordinator,Junior,Full-Time,Remote,2010-06-29,14.5," 611,350 ",Meets Expectations,3,2,2,No,2,5,No
EMP84342,Chioma Babatunde,Female,35,Single,3,Ogun,B.Sc/B.A,Engineering,Civil Engineer,Mid,Full-Time,On-site,2020-11-08,4.1," 390,867 ",Exceeds Expectations,4,4,0,No,2,2,No
EMP51246,Yemi Okafor,Male,22,Single,2,Kaduna,HND,Sales,Business Development Officer,Mid,Full-Time,On-site,2011-11-15,13.1," 691,901 ",Unsatisfactory,3,4,23,No,15,1,No
EMP37870,Chukwu Chukwuemeka,Male,41,Married,1,Enugu,HND,Technology,IT Support,Mid,Full-Time,On-site,2018-10-24,6.2," 6,931,819 ",Exceeds Expectations,3,4,6,No,0,0,No
EMP95910,Nnamdi Bello,Male,36,,4,Enugu,Ph.D,Finance,Budget Officer,Mid,Contract,On-site,2018-05-22,6.6," 382,151 ",Unsatisfactory,,5,,No,1,5,Yes
EMP75436,Seun Adeleke,Male,48,,2,Lagos,B.Sc/B.A,Legal & Compliance,Contract Specialist,Mid,Full-Time,Hybrid,2014-03-04,10.8," 153,880 ",Below Expectations,,3,,Yes,0,0,Yes
EMP61857,Ngozi Obi,Female,30,Married,2,Ogun,M.Sc/MBA,Finance,Financial Analyst,Mid,Intern,Hybrid,2021-10-29,3.2," 1,411,086 ",Below Expectations,4,4,14,No,0,0,No
EMP94260,Tunde Lawal,Male,23,Married,0,Abuja,M.Sc/MBA,Human Resources,Learning & Development Officer,Mid,Full-Time,On-site,2019-06-13,5.6," 368,081 ",Exceeds Expectations,4,4,21,Yes,2,2,Yes
EMP70143,Zainab Adeyemi,Male,29,Single,1,Lagos,HND,Customer Service,Customer Service Representative,Junior,Contract,Hybrid,2017-07-26,7.4," 356,582 ",Meets Expectations,3,4,26,No,10,0,No
EMP28727,Fatima Lawal,Male,39,Single,0,Lagos,M.Sc/MBA,Customer Service,Customer Service Representative,Junior,Contract,Hybrid,2018-05-22,6.6," 387,948 ",Exceeds Expectations,4,3,16,No,0,0,No
EMP44719,Adaeze Adeyemi,Female,32,Single,0,Abuja,HND,Finance,Accountant,Mid,Full-Time,On-site,2012-06-26,12.5," 511,781 ",Below Expectations,5,4,0,No,1,1,No
EMP28302,Musa Usman,Male,39,Married,0,Ogun,M.Sc/MBA,Sales,Sales Executive,Executive,Intern,On-site,2021-09-14,3.3," 1,303,810 ",Meets Expectations,3,3,12,Yes,2,1,No
EMP42326,Yemi Nwosu,Female,33,Married,1,Kano,M.Sc/MBA,Technology,Systems Administrator,Mid,Full-Time,Remote,2011-05-09,13.6," 690,676 ",Meets Expectations,4,4,12,No,1,0,No
EMP83580,Uche Musa,Female,32,Married,4,Abuja,B.Sc/B.A,Technology,Data Analyst,Mid,Full-Time,On-site,2014-11-28,10.1," 6,849,301 ",Exceeds Expectations,3,4,23,Yes,0,0,No
EMP80645,Fatima Babatunde,Male,45,Single,0,Lagos,HND,Marketing,Brand Manager,Manager,Full-Time,On-site,2010-05-16,14.6," 691,421 ",Meets Expectations,2,3,34,No,2,0,No
EMP44439,Tunde Salami,Male,50,Married,2,Oyo,B.Sc/B.A,Finance,Accountant,Mid,Full-Time,Hybrid,2011-02-07,13.9," 296,630 ",Meets Expectations,3,3,36,No,2,0,No
EMP86623,Amara Babatunde,Female,27,Single,3,Lagos,B.Sc/B.A,Technology,Software Engineer,Mid,Full-Time,On-site,2022-11-26,2.1," 479,685 ",Meets Expectations,2,4,7,No,3,1,No
EMP66156,Yemi Abiodun,Male,34,,0,Lagos,B.Sc/B.A,Operations,Operations Manager,Manager,Full-Time,On-site,2016-06-17,8.5," 637,654 ",Meets Expectations,,3,,No,0,0,No
EMP86485,Uche Okafor,Female,29,Married,3,Anambra,B.Sc/B.A,Marketing,Content Strategist,Mid,Full-Time,On-site,2017-06-29,7.5," 2,245,629 ",Below Expectations,3,1,18,No,1,0,Yes
EMP62351,Emeka Sule,Male,22,Single,1,Lagos,B.Sc/B.A,Marketing,Digital Marketing Analyst,Mid,Full-Time,On-site,2015-02-14,9.9," 471,669 ",Meets Expectations,4,5,32,No,0,1,No
EMP57448,Adaeze Abiodun,Male,29,Divorced,3,Delta,HND,Sales,Account Manager,Manager,Full-Time,Hybrid,2021-08-13,3.4," 479,823 ",Exceeds Expectations,1,5,33,No,4,6,No
EMP38747,Aisha Okafor,Male,48,Divorced,4,Lagos,M.Sc/MBA,Finance,Auditor,Mid,Full-Time,Hybrid,2018-01-23,6.9," 163,324 ",Exceeds Expectations,4,5,43,No,5,0,No
EMP28132,Chidi Nwachukwu,Male,28,Married,1,Lagos,B.Sc/B.A,Sales,Sales Coordinator,Junior,Full-Time,Remote,2016-03-13,8.8," 551,708 ",Meets Expectations,5,4,2,No,1,0,No
EMP76785,Uche Salami,Male,23,Single,0,Kano,M.Sc/MBA,Marketing,Marketing Coordinator,Junior,Full-Time,On-site,2016-07-01,8.5," 479,139 ",Below Expectations,3,4,33,Yes,0,1,Yes
EMP74687,Adaeze Adeyemi,Male,29,Divorced,3,Rivers,B.Sc/B.A,Finance,Budget Officer,Mid,Full-Time,On-site,2016-05-09,8.6," 502,897 ",Unsatisfactory,4,3,24,Yes,0,0,No
